"service_id","date","exception_type"
"64810","20230609","1"
"64810","20230610","2"
"64810","20230611","1"
"64810","20230612","1"
"64810","20230613","1"
"64810","20230614","1"
"64810","20230615","1"
"64810","20230616","1"
"64810","20230617","2"
"64810","20230618","1"
"64810","20230619","1"
"64810","20230620","1"
"64810","20230621","1"
"64810","20230622","1"
"64810","20230623","1"
"64810","20230624","2"
"64810","20230625","1"
"64810","20230626","1"
"64810","20230627","1"
"64810","20230628","1"
"64810","20230629","1"
"64810","20230630","1"
"64810","20230701","2"
"64810","20230702","1"
"64810","20230703","1"
"64810","20230704","1"
"64810","20230705","2"
"64810","20230706","1"
"64810","20230707","1"
"64810","20230708","2"
"64810","20230709","1"
"64810","20230710","1"
"64810","20230711","1"
"64810","20230712","1"
"64810","20230713","1"
"64810","20230714","1"
"64810","20230715","2"
"64810","20230716","1"
"64810","20230717","1"
"64810","20230718","1"
"64810","20230719","1"
"64810","20230720","1"
"64810","20230721","1"
"64810","20230722","2"
"64810","20230723","1"
"64810","20230724","1"
"64810","20230725","1"
"64810","20230726","1"
"64810","20230727","1"
"64810","20230728","1"
"64810","20230729","2"
"64810","20230730","1"
"64810","20230731","1"
"64810","20230801","1"
"64810","20230802","1"
"64810","20230803","1"
"64810","20230804","1"
"64810","20230805","2"
"64810","20230806","1"
"64810","20230807","1"
"64810","20230808","1"
"64810","20230809","1"
"64810","20230810","1"
"64810","20230811","1"
"64810","20230812","2"
"64810","20230813","1"
"64810","20230814","1"
"64810","20230815","1"
"64810","20230816","1"
"64810","20230817","1"
"64810","20230818","1"
"64810","20230819","2"
"64810","20230820","1"
"64810","20230821","1"
"64810","20230822","1"
"64810","20230823","1"
"64810","20230824","1"
"64810","20230825","1"
"64810","20230826","2"
"64810","20230827","1"
"64810","20230828","1"
"64810","20230829","1"
"64810","20230830","1"
"64810","20230831","1"
"64810","20230901","1"
"64810","20230902","2"
"64810","20230903","1"
"64810","20230904","1"
"64810","20230905","1"
"64810","20230906","1"
"64810","20230907","1"
"64810","20230908","1"
"64810","20230909","2"
"64810","20230910","1"
"64810","20230911","1"
"64810","20230912","1"
"64810","20230913","1"
"64810","20230914","1"
"64810","20230915","1"
"64810","20230916","2"
"64810","20230917","1"
"64810","20230918","1"
"64810","20230919","1"
"64810","20230920","1"
"64810","20230921","1"
"64810","20230922","1"
"64810","20230923","2"
"64810","20230924","1"
"64810","20230925","1"
"64810","20230926","1"
"64810","20230927","1"
"64810","20230928","1"
"64810","20230929","1"
"64810","20230930","2"
"64810","20231001","1"
"64810","20231002","1"
"64810","20231003","1"
"64810","20231004","1"
"64810","20231005","1"
"64810","20231006","1"
"64810","20231007","2"
"64810","20231008","1"
"64810","20231009","1"
"64810","20231010","1"
"64810","20231011","1"
"64810","20231012","1"
"64810","20231013","1"
"64810","20231014","2"
"64810","20231015","1"
"64810","20231016","1"
"64810","20231017","1"
"64810","20231018","1"
"64810","20231019","1"
"64810","20231020","1"
"64810","20231021","2"
"64810","20231022","1"
"64810","20231023","1"
"64810","20231024","1"
"64810","20231025","1"
"64810","20231026","1"
"64810","20231027","1"
"64810","20231028","2"
"64810","20231029","1"
"64810","20231030","1"
"64810","20231031","1"
"64810","20231101","1"
"64810","20231102","1"
"64810","20231103","1"
"64810","20231104","2"
"64810","20231105","1"
"64810","20231106","1"
"64810","20231107","1"
"64810","20231108","1"
"64810","20231109","1"
"64810","20231110","1"
"64810","20231111","2"
"64810","20231112","1"
"64810","20231113","1"
"64810","20231114","1"
"64810","20231115","1"
"64810","20231116","1"
"64810","20231117","2"
"64810","20231118","2"
"64810","20231119","1"
"64810","20231120","1"
"64810","20231121","1"
"64810","20231122","1"
"64810","20231123","1"
"64810","20231124","1"
"64810","20231125","2"
"64810","20231126","1"
"64810","20231127","1"
"64810","20231128","1"
"64810","20231129","1"
"64810","20231130","1"
"64810","20231201","1"
"64810","20231202","2"
"64810","20231203","1"
"64810","20231204","1"
"64810","20231205","1"
"64810","20231206","1"
"64810","20231207","1"
"64810","20231208","1"
"64810","20231209","2"
"64810","20231210","2"
"66468","20221211","1"
"66468","20221212","1"
"66468","20221213","1"
"66468","20221214","1"
"66468","20221215","1"
"66468","20221216","1"
"66468","20221217","1"
"66468","20221218","1"
"66468","20221219","1"
"66468","20221220","1"
"66468","20221221","1"
"66468","20221222","1"
"66468","20221223","1"
"66468","20221224","2"
"66468","20221225","2"
"66468","20221226","1"
"66468","20221227","1"
"66468","20221228","1"
"66468","20221229","1"
"66468","20221230","1"
"66468","20221231","2"
"66468","20230101","1"
"66468","20230102","1"
"66468","20230103","1"
"66468","20230104","1"
"66468","20230105","1"
"66468","20230106","1"
"66468","20230107","1"
"66468","20230108","1"
"66468","20230109","1"
"66468","20230110","1"
"66468","20230111","1"
"66468","20230112","1"
"66468","20230113","1"
"66468","20230114","1"
"66468","20230115","1"
"66468","20230116","1"
"66468","20230117","1"
"66468","20230118","1"
"66468","20230119","1"
"66468","20230120","1"
"66468","20230121","1"
"66468","20230122","1"
"66468","20230123","1"
"66468","20230124","1"
"66468","20230125","1"
"66468","20230126","1"
"66468","20230127","1"
"66468","20230128","1"
"66468","20230129","1"
"66468","20230130","1"
"66468","20230131","1"
"66468","20230201","1"
"66468","20230202","1"
"66468","20230203","1"
"66468","20230204","1"
"66468","20230205","1"
"66468","20230206","1"
"66468","20230207","1"
"66468","20230208","1"
"66468","20230209","1"
"66468","20230210","1"
"66468","20230211","1"
"66468","20230212","1"
"66468","20230213","1"
"66468","20230214","1"
"66468","20230215","1"
"66468","20230216","1"
"66468","20230217","1"
"66468","20230218","1"
"66468","20230219","1"
"66468","20230220","1"
"66468","20230221","1"
"66468","20230222","1"
"66468","20230223","1"
"66468","20230224","1"
"66468","20230225","1"
"66468","20230226","1"
"66468","20230227","1"
"66468","20230228","1"
"66468","20230301","1"
"66468","20230302","1"
"66468","20230303","1"
"66468","20230304","1"
"66468","20230305","1"
"66468","20230306","1"
"66468","20230307","1"
"66468","20230308","1"
"66468","20230309","1"
"66468","20230310","1"
"66468","20230311","1"
"66468","20230312","1"
"66468","20230313","1"
"66468","20230314","1"
"66468","20230315","1"
"66468","20230316","1"
"66468","20230317","1"
"66468","20230318","1"
"66468","20230319","1"
"66468","20230320","1"
"66468","20230321","1"
"66468","20230322","1"
"66468","20230323","1"
"66468","20230324","1"
"66468","20230325","1"
"66468","20230326","1"
"66468","20230327","1"
"66468","20230328","1"
"66468","20230329","1"
"66468","20230330","1"
"66468","20230331","1"
"66468","20230401","1"
"66468","20230402","1"
"66468","20230403","1"
"66468","20230404","1"
"66468","20230405","1"
"66468","20230406","1"
"66468","20230407","1"
"66468","20230408","1"
"66468","20230409","1"
"66468","20230410","1"
"66468","20230411","1"
"66468","20230412","1"
"66468","20230413","1"
"66468","20230414","1"
"66468","20230415","1"
"66468","20230416","1"
"66468","20230417","1"
"66468","20230418","1"
"66468","20230419","1"
"66468","20230420","1"
"66468","20230421","1"
"66468","20230422","1"
"66468","20230423","1"
"66468","20230424","1"
"66468","20230425","1"
"66468","20230426","1"
"66468","20230427","1"
"66468","20230428","1"
"66468","20230429","1"
"66468","20230430","1"
"66468","20230501","1"
"66468","20230502","1"
