"stop_id","stop_name","stop_lat","stop_lon","stop_code","location_type","parent_station","wheelchair_boarding"
"152801","Haniska pri Košiciach","48.63106","21.24874","","","",""
"157701","Haniska pri Prešove","48.9573","21.24091","","","",""
"161604","Hankovce","49.0267","21.94788","","","",""
"158709","Hanušovce n.Topľou","49.01894","21.51988","","","",""
"158907","Hanušovce n.Topľou mesto","49.02411","21.50482","","","",""
"133033","Harmanec jaskyňa","48.82262","19.03425","","","",""
"112052","Hatvan","47.663656579170606","19.671446400834746","","","",""
"160705","Hažín n.Cirochou","48.93215","21.95812","","","",""
"13623","Hegyeshalom","47.913511","17.147211","","","",""
"148908","Helcmanovce","48.82775","20.86529","","","",""
"144832","Heľpa","48.85644","19.95868","","","",""
"160002","Hencovce","48.85713","21.72465","","","",""
"165803","Hertník","49.21594","21.26651","","","",""
"132431","Hidasnemeti","48.508218","21.229871","","","",""
"900039","Himberg b.Wien","48.082363","16.445052","","","",""
"140939","Hliník n.Hronom","48.53958","18.77099","","","",""
"159301","Hlinné","48.9529","21.58413","","","",""
"159061","Hlohovec","48.4332","17.80681","","","",""
"146209","Hnilec","48.8304","20.50068","","","",""
"152231","Hnúšťa","48.57738","19.95745","","","",""
"152637","Hnúšťa zast.","48.60418","19.95894","","","",""
"137935","Hodejov","48.29655","19.97982","","","",""
"338459","Hodonín","48.856051","17.122518","","","",""
"143263","Holíč n.Moravou","48.81453","17.15028","","","",""
"136234","Holiša","48.30421","19.74176","","","",""
"146837","Hontianske Nemce","48.2824050","18.9923240","","","",""
"146431","Hontianske Tesáre","48.2086910","18.9331130","","","",""
"176057","Horná Lehota","49.24952","19.40769","","","",""
"130930","Horná Štubňa","48.79276","18.88132","","","",""
"132936","Horná Štubňa obec","48.83098","18.87771","","","",""
"131037","Horná Štubňa zast.","48.82268","18.8699","","","",""
"151563","Horné Ozorovce","48.73702","18.23314","","","",""
"144667","Horné Srnie","48.99752","18.09954","","","",""
"336529","Horní Lideč","49.188494","18.058033","","","",""
"174151","Horný Hričov","49.25467","18.65913","","","",""
"156869","Horný Pial","48.15955","18.44981","","","",""
"141606","Horný Smokovec","49.14248","20.24081","","","",""
"161802","Hrabovec n.Laborcom","49.09631","21.94163","","","",""
"900087","Hrádek (Gródek)","49.614126","18.739329","","","",""
"144360","Hrachovište","48.7179","17.72709","","","",""
"153239","Hrachovo","48.46481","19.96014","","","",""
"337220","Hranice na Moravě","49.565211","17.742603","","","",""
"130518","Hrboltová","49.10033","19.24642","","","",""
"154245","Hrkovce","48.1079210","18.8952969","","","",""
"143800","Hromoš","49.26547","20.80516","","","",""
"163063","Hronovce","48.00619","18.65018","","","",""
"134536","Hronsek","48.64859","19.15935","","","",""
"131839","Hronská Dúbrava","48.57629","18.99036","","","",""
"157461","Hronské Kľačany","48.24692","18.58212","","","",""
"140137","Hronský Beňadik","48.34432","18.56141","","","",""
"156166","Hul","48.09805","18.26532","","","",""
"160408","Humenné","48.93025","21.9005","","","",""
"160606","Humenné mesto","48.9335","21.9121","","","",""
"160622","Humenné mesto2","48.93374661341551","21.91212798223478","","","",""
